,Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score,id,point_attendance,point_motivation,point_extracurricular_activities,point_previous_scores,total_point
3711,23,72,High,Low,Yes,10,84,Low,Yes,2,Low,Medium,Public,Negative,2,No,High School,Moderate,Male,65,3236,5,-5,10,42.0,117.0
3712,24,72,High,High,No,6,78,High,Yes,0,Low,High,Public,Negative,6,No,High School,Near,Female,68,316,5,5,0,39.0,117.0
3713,7,74,Low,High,No,9,98,High,Yes,3,High,Low,Public,Neutral,2,No,High School,Moderate,Male,63,1105,5,0,0,49.0,117.0
3714,17,87,Medium,High,No,4,68,Medium,Yes,2,Low,Low,Public,Positive,4,No,Postgraduate,Moderate,Male,68,4340,10,5,0,34.0,117.0
3715,15,71,High,Low,No,7,78,Medium,Yes,0,Medium,Medium,Private,Positive,3,No,High School,Near,Male,63,2619,5,10,0,39.0,117.0
3716,22,61,Low,Low,Yes,10,76,High,Yes,1,High,High,Public,Positive,2,No,College,Near,Male,64,815,0,5,10,38.0,117.0
3717,17,80,Low,Medium,Yes,9,64,Medium,Yes,1,Low,Medium,Private,Positive,4,No,Postgraduate,Far,Female,65,4346,10,0,10,32.0,117.0
3718,16,82,Medium,Medium,No,7,82,Medium,Yes,1,Medium,Low,Public,Neutral,3,No,Postgraduate,Moderate,Female,66,5528,10,0,0,41.0,117.0
3719,15,69,Medium,Medium,Yes,7,74,High,Yes,2,Low,Medium,Private,Neutral,5,No,Postgraduate,Near,Female,65,2432,0,5,10,37.0,117.0
3720,25,70,Medium,Medium,Yes,9,56,High,Yes,0,Low,Medium,Public,Positive,1,No,High School,Far,Male,64,1718,5,10,10,28.0,117.0
3721,24,80,Medium,High,No,6,66,High,Yes,1,Medium,Medium,Public,Neutral,3,No,College,Moderate,Male,69,4359,10,5,0,33.0,117.0
3722,13,100,Low,Low,Yes,4,54,Low,Yes,3,Low,Low,Public,Positive,2,No,High School,Near,Female,65,5992,20,-5,10,27.0,117.0
3723,16,73,High,Medium,Yes,8,52,Medium,Yes,2,Medium,High,Public,Positive,4,No,College,Near,Female,66,492,5,10,10,26.0,117.0
3724,19,81,Low,High,No,8,90,Medium,Yes,2,Low,Medium,Private,Neutral,3,No,High School,Near,Female,67,5960,10,-5,0,45.0,117.0
3725,28,77,High,Medium,Yes,9,54,Low,Yes,1,High,Medium,Public,Positive,3,No,Postgraduate,Near,Female,70,1886,5,5,10,27.0,117.0
3726,27,87,High,Medium,No,6,54,Medium,Yes,0,Medium,Medium,Private,Positive,2,No,High School,Near,Female,70,6276,10,10,0,27.0,117.0
3727,11,83,Medium,Medium,Yes,5,63,Medium,Yes,2,Low,Medium,Public,Neutral,3,No,College,Near,Male,65,5178,10,0,10,31.5,116.5
3728,21,78,Medium,Low,No,8,83,Medium,Yes,2,Medium,Medium,Public,Positive,4,Yes,High School,Far,Male,65,536,5,5,0,41.5,116.5
3729,26,76,Medium,Medium,Yes,5,57,Medium,Yes,1,Medium,Medium,Public,Positive,4,No,High School,Near,Male,68,200,5,5,10,28.5,116.5
3730,27,76,High,High,Yes,9,55,Medium,Yes,3,Low,Medium,Private,Neutral,0,No,High School,Moderate,Female,69,6011,5,5,10,27.5,116.5
3731,21,98,Medium,Low,No,4,57,Medium,Yes,2,High,Low,Public,Neutral,2,No,High School,Near,Female,68,276,20,0,0,28.5,116.5
3732,25,70,Medium,Medium,Yes,7,51,High,Yes,3,Low,Medium,Public,Positive,4,No,High School,Moderate,Male,66,1504,5,10,10,25.5,116.5
3733,14,71,Medium,Medium,Yes,8,85,Low,Yes,2,Medium,High,Public,Neutral,4,No,High School,Near,Male,64,180,5,-5,10,42.5,116.5
3734,21,96,Medium,High,No,7,63,Medium,Yes,1,Medium,Medium,Private,Negative,2,No,Postgraduate,Far,Female,70,704,20,-5,0,31.5,116.5
3735,21,98,Medium,High,No,5,63,Low,Yes,0,Low,High,Public,Neutral,2,No,Postgraduate,Near,Male,70,644,20,-5,0,31.5,116.5
3736,20,80,High,Low,Yes,6,53,Medium,Yes,0,Low,Medium,Public,Neutral,2,No,College,Moderate,Male,65,270,10,5,10,26.5,116.5
3737,21,69,Medium,Medium,Yes,6,85,Medium,Yes,3,Low,Low,Public,Neutral,1,No,College,Far,Female,64,1638,0,0,10,42.5,116.5
3738,24,74,Low,Low,Yes,8,63,High,Yes,1,Low,High,Public,Positive,3,No,High School,Moderate,Male,65,3871,5,5,10,31.5,116.5
3739,26,76,Low,Medium,Yes,6,77,Medium,Yes,1,Medium,Medium,Private,Neutral,5,No,High School,Near,Male,68,4109,5,-5,10,38.5,116.5
3740,29,77,Low,High,No,6,85,Medium,Yes,1,Medium,Medium,Public,Positive,1,No,College,Near,Male,69,346,5,0,0,42.5,116.5
3741,24,66,Medium,High,No,8,89,Medium,Yes,0,Medium,High,Public,Positive,2,No,College,Near,Male,67,2816,0,5,0,44.5,116.5
3742,27,91,Medium,Medium,No,4,53,Medium,Yes,1,Low,Medium,Private,Positive,3,No,Postgraduate,Near,Female,70,5139,15,5,0,26.5,116.5
3743,16,87,High,Medium,No,9,53,High,Yes,3,Medium,High,Private,Neutral,5,No,College,Near,Male,70,3944,10,10,0,26.5,116.5
3744,20,71,Low,High,Yes,6,63,High,Yes,1,Low,Medium,Public,Positive,2,No,College,Moderate,Male,65,6248,5,5,10,31.5,116.5
3745,24,94,Medium,Medium,No,7,63,Medium,Yes,1,Low,High,Public,Neutral,3,No,High School,Near,Male,70,4500,15,0,0,31.5,116.5
3746,15,91,Medium,Medium,No,6,61,Medium,No,1,Medium,High,Public,Positive,2,No,High School,Moderate,Male,66,3730,15,5,0,30.5,116.5
3747,23,72,Medium,Medium,Yes,6,69,Low,Yes,2,High,Medium,Public,Positive,4,No,High School,Near,Male,67,1532,5,0,10,34.5,116.5
3748,26,73,Medium,High,No,8,77,Medium,Yes,0,Medium,High,Private,Positive,2,No,College,Far,Male,68,4774,5,5,0,38.5,116.5
3749,21,67,Medium,Medium,Yes,5,83,Medium,Yes,1,Low,High,Private,Neutral,5,No,High School,Near,Male,65,2233,0,0,10,41.5,116.5
3750,19,93,Medium,High,No,6,65,Medium,Yes,0,Medium,High,Public,Neutral,3,No,High School,Near,Male,69,606,15,0,0,32.5,116.5
3751,26,86,Medium,Low,No,5,67,Medium,Yes,2,Low,High,Private,Positive,1,No,High School,Moderate,Female,68,5419,10,5,0,33.5,116.5
3752,23,78,Medium,High,No,7,89,Medium,Yes,1,Medium,Low,Public,Neutral,3,No,High School,Far,Male,67,6206,5,0,0,44.5,116.5
3753,39,78,Medium,Medium,No,6,73,Medium,Yes,0,Low,Medium,Public,Positive,2,No,College,Far,Male,70,5598,5,5,0,36.5,116.5
3754,25,63,High,Low,Yes,8,63,Medium,Yes,0,Medium,High,Private,Positive,1,Yes,Postgraduate,Near,Female,65,3419,0,10,10,31.5,116.5
3755,14,72,Medium,Low,No,8,75,High,Yes,4,High,Medium,Private,Positive,2,Yes,College,Near,Male,64,5790,5,10,0,37.5,116.5
3756,9,60,Medium,Low,Yes,6,93,Medium,Yes,3,Low,High,Private,Neutral,2,No,High School,Moderate,Female,60,2896,0,0,10,46.5,116.5
3757,19,65,Medium,Low,Yes,5,65,High,Yes,1,High,Medium,Public,Positive,6,No,College,Moderate,Female,64,2835,0,10,10,32.5,116.5
3758,27,82,Medium,Medium,Yes,9,67,Low,Yes,1,Low,High,Private,Neutral,2,No,High School,Moderate,Male,68,1221,10,-5,10,33.5,116.5
3759,9,76,Medium,Medium,Yes,7,79,Medium,Yes,1,Low,Medium,Public,Neutral,3,No,High School,Near,Female,62,1689,5,0,10,39.5,116.5
3760,16,68,Medium,High,No,7,83,High,Yes,2,Low,High,Public,Positive,2,No,High School,Near,Female,65,3727,0,10,0,41.5,116.5
3761,17,83,Medium,Low,Yes,8,69,Low,Yes,4,Low,High,Public,Neutral,3,No,College,Near,Male,67,4305,10,-5,10,34.5,116.5
3762,24,84,High,Low,No,7,65,Low,Yes,3,Medium,High,Public,Positive,3,No,High School,Near,Female,69,233,10,5,0,32.5,116.5
3763,22,66,Medium,Low,Yes,10,95,Medium,Yes,1,Medium,Medium,Private,Negative,3,No,High School,Near,Male,64,4307,0,-5,10,47.5,116.5
3764,18,79,Medium,Medium,No,7,81,Medium,No,1,Medium,High,Private,Positive,4,No,College,Moderate,Female,66,4262,5,5,0,40.5,116.5
3765,23,77,Medium,High,Yes,6,69,Low,Yes,1,Medium,Medium,Private,Positive,2,No,High School,Moderate,Female,67,208,5,0,10,34.5,116.5
3766,22,93,Medium,High,No,9,59,Low,Yes,3,Low,High,Public,Positive,4,No,Postgraduate,Near,Female,72,3926,15,0,0,29.5,116.5
3767,24,94,Low,Medium,Yes,6,75,Low,Yes,1,Low,High,Public,Negative,4,No,High School,Near,Female,69,2009,15,-15,10,37.5,116.5
3768,13,83,Low,Medium,Yes,7,81,Medium,Yes,4,Low,Medium,Public,Negative,5,No,College,Near,Female,66,2450,10,-10,10,40.5,116.5
3769,23,87,Medium,Low,No,7,79,Medium,Yes,2,Medium,Medium,Public,Neutral,2,No,High School,Far,Male,67,2972,10,0,0,39.5,116.5
3770,27,68,Medium,Medium,Yes,5,97,Low,Yes,1,Medium,Medium,Public,Negative,4,No,College,Near,Male,68,2203,0,-10,10,48.5,116.5
3771,15,68,Medium,Medium,Yes,5,95,Medium,Yes,0,High,Medium,Public,Negative,5,No,College,Near,Female,64,1748,0,-5,10,47.5,116.5
3772,26,75,Medium,Low,Yes,4,79,Medium,Yes,2,High,Medium,Public,Negative,1,No,College,Near,Male,67,1813,5,-5,10,39.5,116.5
3773,18,73,Medium,Medium,Yes,8,75,Medium,Yes,0,High,Medium,Public,Neutral,1,Yes,College,Near,Female,64,5548,5,0,10,37.5,116.5
3774,26,63,High,High,Yes,7,79,Medium,Yes,1,Low,High,Public,Negative,2,No,High School,Near,Male,67,5462,0,0,10,39.5,116.5
3775,14,67,High,Low,No,9,87,Medium,Yes,1,Medium,Medium,Private,Positive,3,No,High School,Near,Male,63,2204,0,10,0,43.5,116.5
3776,21,80,High,Low,No,7,73,Medium,Yes,0,Medium,Low,Private,Neutral,2,No,High School,Moderate,Female,65,6292,10,5,0,36.5,116.5
3777,14,84,Medium,Medium,No,7,81,Medium,Yes,0,High,Medium,Public,Neutral,2,No,College,Near,Female,66,2443,10,0,0,40.5,116.5
3778,21,94,Medium,High,No,5,73,Low,Yes,0,Medium,High,Public,Neutral,3,No,Postgraduate,Far,Female,70,3522,15,-5,0,36.5,116.5
3779,18,90,Medium,Medium,No,7,65,Low,Yes,4,Medium,Medium,Public,Positive,3,No,College,Near,Female,69,5502,15,0,0,32.5,116.5
3780,22,67,Medium,Medium,Yes,7,59,High,Yes,2,Low,High,Public,Positive,3,No,Postgraduate,Near,Male,67,2956,0,10,10,29.5,116.5
3781,20,66,Medium,High,Yes,8,73,Medium,Yes,0,High,Low,Public,Positive,3,No,High School,Moderate,Male,65,4468,0,5,10,36.5,116.5
3782,20,92,Medium,Low,No,7,67,Low,Yes,1,Medium,Medium,Public,Positive,5,No,High School,Near,Male,68,3676,15,0,0,33.5,116.5
3783,25,76,High,High,Yes,6,57,Low,No,0,Medium,Medium,Public,Positive,3,No,Postgraduate,Moderate,Male,68,5255,5,5,10,28.5,116.5
3784,37,69,Medium,High,Yes,9,87,Medium,No,1,Low,Medium,Public,Negative,2,No,College,Far,Female,68,4628,0,-5,10,43.5,116.5
3785,14,75,Medium,Medium,Yes,6,75,Medium,Yes,0,Low,High,Public,Neutral,2,No,High School,Near,Male,64,5467,5,0,10,37.5,116.5
3786,23,90,Medium,High,No,5,53,Medium,Yes,2,Medium,High,Private,Positive,2,No,High School,Near,Female,70,3393,15,5,0,26.5,116.5
3787,22,72,Medium,Low,Yes,9,65,High,Yes,0,Medium,Medium,Public,Neutral,3,No,High School,Moderate,Male,64,5518,5,5,10,32.5,116.5
3788,11,89,Medium,Medium,Yes,5,63,Medium,Yes,0,Medium,Medium,Public,Neutral,2,No,College,Near,Female,65,1431,10,0,10,31.5,116.5
3789,17,80,High,High,No,9,57,Medium,Yes,4,Low,Medium,Public,Positive,2,No,College,Near,Male,68,3515,10,10,0,28.5,116.5
3790,18,68,Medium,High,Yes,8,83,Low,Yes,1,Low,Medium,Public,Positive,2,No,College,Near,Male,65,1427,0,0,10,41.5,116.5
3791,19,80,Low,Medium,Yes,10,63,High,No,1,Medium,Medium,Public,Neutral,2,No,College,Near,Female,65,3784,10,0,10,31.5,116.5
3792,11,82,High,Medium,No,8,63,High,Yes,1,Medium,Medium,Public,Neutral,5,No,High School,Near,Male,65,4960,10,10,0,31.5,116.5
3793,20,70,Low,Medium,Yes,6,79,Low,Yes,4,Medium,Medium,Public,Positive,4,No,Postgraduate,Near,Male,67,4082,5,-5,10,39.5,116.5
3794,34,61,Medium,Medium,Yes,6,67,High,Yes,1,High,Medium,Private,Neutral,2,No,Postgraduate,Moderate,Male,68,4914,0,5,10,33.5,116.5
3795,18,88,Low,Medium,No,8,87,Medium,Yes,2,Medium,High,Public,Neutral,2,No,Postgraduate,Moderate,Female,68,4456,10,-5,0,43.5,116.5
3796,16,72,Medium,Low,No,6,87,Medium,No,2,Medium,Low,Private,Positive,4,No,High School,Near,Female,63,2369,5,5,0,43.5,116.5
3797,26,90,High,High,No,9,71,Low,Yes,0,High,Low,Private,Negative,2,No,College,Near,Female,71,1293,15,-5,0,35.5,116.5
3798,20,79,Medium,High,Yes,4,79,Low,Yes,0,Medium,High,Private,Neutral,4,No,High School,Moderate,Male,67,4021,5,-5,10,39.5,116.5
3799,27,76,High,High,No,9,67,Medium,Yes,1,Low,Medium,Public,Positive,4,No,High School,Far,Female,68,5930,5,10,0,33.5,116.5
3800,15,78,Medium,High,Yes,9,63,Medium,No,2,Medium,Medium,Private,Positive,3,No,Postgraduate,Far,Female,65,6207,5,5,10,31.5,116.5
3801,25,80,Medium,Medium,Yes,9,57,Low,Yes,2,Low,High,Public,Positive,3,No,High School,Moderate,Female,68,1204,10,0,10,28.5,116.5
3802,14,81,Low,Medium,No,6,89,Medium,No,6,Low,High,Private,Neutral,3,No,College,Near,Female,67,2158,10,-5,0,44.5,116.5
3803,12,93,Medium,High,No,6,59,Medium,Yes,2,Low,Medium,Private,Positive,3,No,High School,Moderate,Female,67,5966,15,5,0,29.5,116.5
3804,12,90,Medium,Low,Yes,6,54,Medium,No,1,High,Medium,Public,Neutral,3,No,High School,Near,Male,64,202,15,0,10,27.0,116.0
3805,17,64,High,Low,Yes,7,74,Low,Yes,2,Medium,Low,Public,Positive,2,No,Postgraduate,Near,Female,64,1665,0,5,10,37.0,116.0
3806,16,73,Medium,Medium,Yes,7,74,Low,Yes,1,Low,High,Public,Positive,3,No,High School,Moderate,Male,64,2677,5,0,10,37.0,116.0
3807,24,91,Medium,High,Yes,9,62,Low,Yes,3,Low,Medium,Public,Negative,4,No,College,Moderate,Male,70,5937,15,-10,10,31.0,116.0
3808,20,71,Low,High,Yes,6,56,High,Yes,5,Medium,Medium,Private,Positive,5,No,College,Near,Male,68,4516,5,5,10,28.0,116.0
3809,25,69,High,Medium,No,7,76,Medium,Yes,1,High,Medium,Public,Positive,2,No,High School,Near,Female,68,6373,0,10,0,38.0,116.0
3810,15,73,Medium,Medium,Yes,7,60,High,Yes,3,Medium,Medium,Public,Neutral,4,No,College,Near,Female,66,4143,5,5,10,30.0,116.0
3811,11,76,Low,Medium,Yes,5,92,Medium,Yes,4,Medium,Low,Public,Negative,2,No,Postgraduate,Near,Male,65,268,5,-10,10,46.0,116.0
3812,29,77,Medium,Medium,No,9,84,Medium,Yes,0,Low,High,Public,Neutral,3,No,College,Near,Female,69,2631,5,0,0,42.0,116.0
3813,14,70,High,Medium,Yes,9,54,Medium,No,3,Medium,Medium,Public,Positive,1,No,College,Near,Male,64,440,5,10,10,27.0,116.0
3814,16,73,High,Medium,Yes,8,62,Medium,Yes,0,High,High,Private,Neutral,2,No,High School,Near,Female,65,3536,5,5,10,31.0,116.0
3815,10,82,High,Medium,No,7,82,Low,Yes,2,Low,High,Private,Neutral,4,No,High School,Near,Male,65,991,10,0,0,41.0,116.0
3816,18,83,Low,Medium,No,8,100,Medium,Yes,1,Low,High,Private,Negative,2,No,High School,Near,Female,66,6154,10,-10,0,50.0,116.0
3817,28,94,Medium,High,No,7,60,Low,Yes,1,Low,Medium,Public,Positive,3,No,High School,Near,Male,71,4091,15,0,0,30.0,116.0
3818,21,75,Medium,Low,Yes,7,82,Medium,Yes,1,Medium,Medium,Public,Negative,4,No,High School,Near,Male,65,6349,5,-5,10,41.0,116.0
3819,11,61,Low,Medium,Yes,7,90,High,Yes,0,Medium,High,Public,Neutral,3,No,High School,Near,Female,61,1307,0,0,10,45.0,116.0
3820,21,62,High,Low,Yes,6,54,High,Yes,0,High,High,Public,Positive,3,No,Postgraduate,Far,Male,64,25,0,15,10,27.0,116.0
3821,31,68,High,Medium,No,7,86,Low,Yes,1,Low,Medium,Private,Positive,3,No,High School,Moderate,Female,68,3499,0,5,0,43.0,116.0
3822,28,74,Medium,Medium,No,9,96,Low,Yes,0,Medium,Medium,Private,Neutral,3,No,High School,Near,Female,68,3163,5,-5,0,48.0,116.0
3823,16,89,High,Medium,Yes,8,58,Low,Yes,2,Low,Medium,Public,Neutral,3,No,College,Moderate,Male,67,4603,10,0,10,29.0,116.0
3824,31,83,Low,High,Yes,6,70,Medium,Yes,3,Low,Medium,Private,Negative,3,No,College,Near,Male,71,4038,10,-10,10,35.0,116.0
3825,27,63,High,Low,No,7,80,Medium,No,2,Medium,High,Public,Positive,2,No,High School,Near,Female,66,5248,0,10,0,40.0,116.0
3826,21,89,Low,Medium,No,7,76,Medium,Yes,3,High,Medium,Public,Positive,2,No,High School,Far,Female,68,4712,10,0,0,38.0,116.0
3827,24,87,Low,Medium,No,6,78,High,Yes,0,Low,Low,Public,Neutral,2,Yes,Postgraduate,Near,Male,67,1763,10,0,0,39.0,116.0
3828,21,72,Medium,High,Yes,9,80,Low,Yes,1,Medium,Medium,Public,Neutral,3,No,High School,Near,Female,66,2653,5,-5,10,40.0,116.0
3829,16,83,High,High,Yes,7,56,Medium,Yes,3,Medium,Medium,Public,Negative,2,No,High School,Near,Male,68,1756,10,0,10,28.0,116.0
3830,19,70,Medium,Low,Yes,9,86,Low,Yes,2,High,Medium,Public,Neutral,2,Yes,High School,Near,Male,63,1647,5,-5,10,43.0,116.0
3831,34,75,Low,Medium,Yes,5,66,Medium,Yes,0,Low,Medium,Private,Positive,3,No,High School,Near,Male,68,4562,5,0,10,33.0,116.0
3832,15,91,Low,High,Yes,4,50,High,Yes,1,Medium,Medium,Public,Neutral,3,No,High School,Moderate,Female,66,5195,15,0,10,25.0,116.0
3833,7,75,Medium,Medium,No,7,98,Low,No,1,Low,High,Public,Positive,3,No,College,Near,Male,62,4807,5,0,0,49.0,116.0
3834,16,74,High,High,Yes,6,68,Low,Yes,2,Medium,Medium,Public,Neutral,4,No,College,Near,Male,67,1268,5,0,10,34.0,116.0
3835,23,63,Low,Medium,Yes,9,84,High,Yes,0,High,Medium,Public,Neutral,3,No,High School,Near,Female,64,2685,0,0,10,42.0,116.0
3836,18,89,Medium,Medium,No,7,66,Medium,Yes,2,Medium,Medium,Public,Positive,3,No,College,Moderate,Male,68,5538,10,5,0,33.0,116.0
3837,28,65,Medium,Medium,No,8,78,High,No,1,High,Medium,Private,Positive,3,No,College,Near,Female,67,5266,0,10,0,39.0,116.0
3838,9,87,High,Medium,No,6,82,Medium,Yes,0,Low,Medium,Public,Negative,3,No,College,Near,Female,65,2701,10,0,0,41.0,116.0
3839,13,79,Medium,High,No,7,70,High,Yes,4,Low,Medium,Public,Positive,3,Yes,High School,Near,Female,66,5995,5,10,0,35.0,116.0
3840,29,84,Medium,Low,Yes,7,68,Low,Yes,1,Low,Medium,Private,Neutral,2,No,High School,Moderate,Male,67,6,10,-5,10,34.0,116.0
3841,13,78,Medium,High,No,7,82,High,Yes,0,Low,High,Public,Neutral,2,No,College,Moderate,Female,65,5632,5,5,0,41.0,116.0
3842,18,66,High,Medium,No,7,92,Medium,Yes,2,Low,Medium,Private,Neutral,4,No,High School,Moderate,Male,65,671,0,5,0,46.0,116.0
3843,24,60,Low,Medium,Yes,6,92,Low,Yes,3,Medium,Medium,Public,Positive,2,No,College,Near,Male,65,3413,0,-5,10,46.0,116.0
3844,18,83,Medium,Low,Yes,9,62,High,Yes,2,Low,Medium,Public,Negative,2,No,High School,Near,Male,65,3891,10,0,10,31.0,116.0
3845,20,77,Medium,Medium,No,5,98,Low,Yes,2,Low,High,Private,Neutral,2,No,Postgraduate,Far,Female,67,258,5,-5,0,49.0,116.0
3846,19,94,Medium,Low,No,4,76,Medium,Yes,4,Low,High,Private,Negative,3,No,High School,Moderate,Female,68,2431,15,-5,0,38.0,116.0
3847,18,61,Medium,Medium,Yes,6,96,Medium,Yes,0,Medium,Medium,Public,Negative,3,No,High School,Near,Male,63,5345,0,-5,10,48.0,116.0
3848,26,84,High,Medium,No,7,64,Medium,No,1,Medium,High,Public,Neutral,4,No,College,Near,Male,69,5347,10,5,0,32.0,116.0
3849,28,63,Medium,Medium,No,8,88,Medium,Yes,2,Low,High,Public,Positive,2,No,High School,Near,Male,67,5710,0,5,0,44.0,116.0
3850,8,77,Medium,Low,Yes,7,90,Low,Yes,1,Medium,Medium,Public,Neutral,0,No,High School,Moderate,Male,61,6259,5,-5,10,45.0,116.0
3851,18,82,Medium,Medium,No,7,88,Medium,Yes,3,Low,Medium,Public,Negative,3,No,College,Moderate,Female,67,1933,10,-5,0,44.0,116.0
3852,17,67,High,Medium,No,8,82,Medium,Yes,0,Medium,Medium,Public,Positive,4,No,High School,Near,Female,65,4652,0,10,0,41.0,116.0
3853,20,81,Medium,Medium,Yes,5,60,Low,Yes,3,Medium,Medium,Public,Positive,4,Yes,High School,Near,Male,66,300,10,0,10,30.0,116.0
3854,23,68,Low,Low,Yes,7,92,Medium,No,3,Low,High,Private,Neutral,4,No,High School,Near,Male,65,1357,0,-5,10,46.0,116.0
3855,17,65,High,High,Yes,8,72,Low,Yes,1,Low,Medium,Public,Positive,4,No,College,Moderate,Male,65,5493,0,5,10,36.0,116.0
3856,22,70,Low,Medium,Yes,6,82,Medium,Yes,1,Low,High,Public,Neutral,3,No,High School,Near,Female,65,17,5,-5,10,41.0,116.0
3857,24,75,Low,High,Yes,9,70,High,Yes,5,High,High,Public,Negative,5,No,College,Near,Female,71,3112,5,-5,10,35.0,116.0
3858,16,71,High,High,Yes,7,72,Low,Yes,1,Medium,Low,Private,Neutral,4,No,College,Moderate,Female,65,5503,5,0,10,36.0,116.0
3859,21,69,Medium,Medium,Yes,10,92,Low,Yes,2,Low,Medium,Private,Neutral,3,No,High School,Near,Male,65,5917,0,-5,10,46.0,116.0
3860,25,70,Medium,Medium,Yes,4,72,Medium,Yes,0,Low,Low,Public,Neutral,4,No,College,Moderate,Male,65,2517,5,0,10,36.0,116.0
3861,17,76,High,Medium,Yes,4,58,Medium,Yes,4,Medium,Medium,Private,Neutral,2,No,Postgraduate,Moderate,Female,67,2290,5,5,10,29.0,116.0
3862,19,69,Medium,High,Yes,7,82,High,Yes,1,Low,Medium,Public,Negative,2,No,High School,Near,Male,65,79,0,0,10,41.0,116.0
3863,28,72,High,Medium,Yes,5,78,Low,No,5,Medium,Low,Private,Negative,2,No,College,Far,Male,67,2084,5,-5,10,39.0,116.0
3864,25,69,High,Low,Yes,7,52,High,Yes,1,Low,Medium,Public,Positive,4,No,High School,Moderate,Male,65,1261,0,15,10,26.0,116.0
3865,23,91,Medium,High,Yes,10,62,Low,Yes,1,Medium,High,Private,Negative,3,No,College,Near,Male,70,5355,15,-10,10,31.0,116.0
3866,24,71,Medium,Low,No,9,80,Medium,Yes,2,Medium,High,Private,Positive,3,No,High School,Near,Female,66,567,5,5,0,40.0,116.0
3867,29,97,Medium,Medium,No,8,58,Medium,Yes,1,High,Medium,Private,Negative,4,No,College,Moderate,Female,72,591,20,-5,0,29.0,116.0
3868,20,82,Low,Low,Yes,8,60,Medium,Yes,3,Medium,High,Public,Positive,4,No,High School,Moderate,Male,66,868,10,0,10,30.0,116.0
3869,21,73,Low,Medium,Yes,9,60,High,Yes,2,Medium,Medium,Public,Positive,3,No,College,Near,Male,66,2844,5,5,10,30.0,116.0
3870,17,95,High,Medium,No,5,54,Low,Yes,2,High,High,Public,Neutral,2,No,College,Moderate,Female,69,4479,20,0,0,27.0,116.0
3871,26,65,Medium,Medium,Yes,7,82,Low,Yes,1,Low,Medium,Public,Positive,1,No,Postgraduate,Far,Male,65,4182,0,0,10,41.0,116.0
3872,19,93,Low,High,Yes,7,66,Low,Yes,1,Medium,Medium,Private,Neutral,3,No,High School,Near,Female,68,4261,15,-10,10,33.0,116.0
3873,31,88,Medium,Low,No,6,62,Medium,Yes,2,Low,Medium,Private,Positive,4,No,High School,Near,Male,70,1956,10,5,0,31.0,116.0
3874,21,84,Low,High,No,9,98,Medium,Yes,1,Low,Medium,Public,Negative,3,No,High School,Moderate,Male,67,3637,10,-10,0,49.0,116.0
3875,21,69,Medium,Medium,Yes,5,62,High,Yes,2,Low,Medium,Public,Positive,3,No,High School,Near,Male,65,1592,0,10,10,31.0,116.0
3876,20,79,Medium,Low,Yes,6,74,Low,Yes,2,Low,Medium,Public,Positive,2,No,High School,Far,Male,64,809,5,0,10,37.0,116.0
3877,26,72,Medium,Medium,Yes,8,76,Medium,Yes,1,Medium,Medium,Public,Negative,3,No,Postgraduate,Near,Male,68,3482,5,-5,10,38.0,116.0
3878,24,93,Medium,High,No,5,62,Medium,Yes,1,Low,Medium,Public,Neutral,1,No,College,Near,Female,70,2383,15,0,0,31.0,116.0
3879,23,83,High,Medium,No,5,74,Medium,Yes,3,Low,Medium,Public,Negative,2,No,Postgraduate,Near,Male,69,5521,10,0,0,37.0,116.0
3880,33,68,Medium,Low,Yes,5,88,Medium,Yes,2,Low,Medium,Public,Negative,1,No,College,Moderate,Male,67,1182,0,-5,10,44.0,116.0
3881,16,83,Medium,High,Yes,7,56,Low,Yes,4,High,Medium,Public,Positive,3,No,High School,Near,Female,68,291,10,0,10,28.0,116.0
3882,28,63,Medium,Low,No,6,88,High,Yes,4,Medium,High,Public,Neutral,4,No,High School,Far,Male,67,2218,0,5,0,44.0,116.0
3883,30,69,Medium,Medium,Yes,7,66,Medium,Yes,0,Medium,Low,Public,Positive,4,No,Postgraduate,Near,Female,68,1483,0,5,10,33.0,116.0
3884,22,85,High,Medium,No,6,66,Low,Yes,0,Low,Medium,Private,Positive,4,No,College,Near,Male,68,3200,10,5,0,33.0,116.0
3885,13,64,Medium,High,Yes,9,83,Low,Yes,1,High,Medium,Public,Positive,4,No,High School,Near,Male,64,2325,0,0,10,41.5,115.5
3886,34,63,Medium,High,Yes,9,83,Medium,Yes,2,Medium,High,Public,Negative,2,No,College,Moderate,Male,69,791,0,-5,10,41.5,115.5
3887,19,97,Medium,High,No,7,53,Medium,Yes,2,Low,Low,Private,Neutral,3,No,College,Moderate,Male,69,1318,20,0,0,26.5,115.5
3888,20,70,Low,Medium,Yes,9,69,High,Yes,2,Medium,High,Public,Neutral,3,No,Postgraduate,Near,Female,66,3829,5,0,10,34.5,115.5
3889,20,90,Medium,Low,Yes,6,65,Low,Yes,3,Low,Medium,Public,Negative,2,No,Postgraduate,Near,Female,68,6375,15,-10,10,32.5,115.5
